mbti_profile,Title,Plot
Major Mira Killian / Motoko Kusanagi,Ghost in the Shell,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
"Hillary ""Hilly"" Walters Holbrook",The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily b..."
Thomasin,The Witch,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession."
Bernard Berkman,The Squid and the Whale,Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.
Mary Adler,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
Laszlo de Almasy,The English Patient,"At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair."
Ben,Burning,"Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby."
Zeke,The Faculty,"When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings."
Barbara Novak,Down with Love,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author."
Arthur Stuart,Velvet Goldmine,"In 1984, British journalist Arthur Stuart investigates the career of 1970s glam superstar Brian Slade, who was heavily influenced in his early years by hard-living and rebellious American singer Curt Wild."
Meg Murry,A Wrinkle in Time,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him."
Ben Cash,Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be..."
Kitty Fane,The Painted Veil,"A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife."
Miles,Guns Akimbo,A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.
Kelly Van Ryan,Wild Things,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.
Alejandro,Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Lily Owens,The Secret Life of Bees,"In 1964, a teenage girl in search of the truth about her mother runs away to a small town in South Carolina and finds a family of independent women who can connect her to her past."
John Oldman,The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
Faye,Chungking Express,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
Chris Wilton,Match Point,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
Ivan Locke,Locke,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence."
Eilis Lacey,Brooklyn,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within."
Mary Robert,Sister Act,"When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her ide..."
E. Edward Grey,Secretary,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."
Jesse,The Neon Demon,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."
Jeanne Marwan,Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Seth Gecko,From Dusk Till Dawn,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
Yu,Love Exposure,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist."
Koike,Love Exposure,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist."
Nezha,Nezha,"Li Xiaolu, 16, meets the bookish student of the class, Wang Xiaobing. They become best friends. During their short period of friendship, they read Sanmao, and discover the most beautiful places in Baocheng - the orchard and the river"
Danielle de Barbarac,Ever After: A Cinderella Story,"The Brothers Grimm arrive at the home of a wealthy Grande Dame who speaks of the many legends surrounding the fable of the cinder girl before telling the ""true"" story of her ancestor."
Bruce Robertson,Filth,"A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own inner demons."
Carlito,Carlito's Way,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
Trevor,The Fundamentals of Caring,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.
Sonmi-451,Cloud Atlas,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
Ramon Morales,Scary Stories to Tell in the Dark,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories."
Mary,About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
Ravenna,Snow White and the Huntsman,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
Emma Kurtzman,No Strings Attached,"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
Stanley Goodspeed,The Rock,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
Jules Ostin,The Intern,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules ..."
Max Da Costa,Elysium,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
Ben Thomas,Seven Pounds,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
Lara Croft (Jolie),Lara Croft: Tomb Raider,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.
Jenny Young,Someone Great,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship."
Blair Helms,Someone Great,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship."
Erin Kennedy,Someone Great,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship."
Evelyn Salt,Salt,A CIA agent goes on the run after a defector accuses her of being a Russian spy.
Tracy Flick,Election,A high school teacher meets his match in an over-achieving student politician.
Lockhart,A Cure for Wellness,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."
Dastan,Prince of Persia: The Sands of Time,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.
Sasha,Always Be My Maybe,"Everyone assumed that Sasha and Marcus would wind up together, except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder--maybe?"
Samuel,The Babadook,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home."
Halley,The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney Wo..."
April,Palo Alto,"An unflinching portrait of adolescent lust, boredom, and self-destruction that centers around a shy young girl on the cusp of an illicit relationship with her soccer coach."
William Shakespeare,Shakespeare in Love,"The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
Sherman Klump,The Nutty Professor,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.
María Elena,Vicky Cristina Barcelona,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
Hank Thompson,Swiss Army Man,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home."
Micheal Newman,Click,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.
Stanley Crawford,Magic in the Moonlight,A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.
Merrill Hess,Signs,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come."
Max Fischer,Rushmore,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
Emily Nelson,A Simple Favor,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate."
Precious,Precious,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction."
Lucy Harmon,Stealing Beauty,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself."
Dawn Wiener,Welcome to the Dollhouse,"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey."
Kalpana Shetty,Ghajini,"Sanjay Ramaswamy, who is suffering from short-term memory loss, sets out on a quest to find the people who were responsible for his ladylove Kalpana's murder."
Billy Hope,Southpaw,"After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career."
Ella of Frell,Ella Enchanted,"Ella is under a spell to be constantly obedient, a fact she must hide from her new stepfamily in order to protect the prince of the land, her friend for whom she's falling."
Asami Yamazaki,Audition,"A widower takes an offer to screen girls at a special audition, arranged for him by a friend to find him a new wife. The one he fancies is not who she appears to be after all."
Casey Carlyle,Ice Princess,"With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater."
Elizabeth Sloane,Miss Sloane,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a p..."
Winifred “Winnie” Foster,Tuck Everlasting,A young woman meets and falls in love with a young man who is part of a family of immortals.
Diana Christensen,Network,"After getting betrayed by his close associates, a TV show creator, suffering from a terminal disease, designs a reality show to seek his revenge on the very people who stole his last shot at fame."
Jennifer Check,Jennifer's Body,A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?
Chen Nian,Better Days,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, all while she copes with the pressures of her final examinations."
Tonto,The Lone Ranger,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice."
Brandy Klark,The To Do List,"Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall."
Jasmine Francis,Blue Jasmine,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love..."
Grace,Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
Vinny Gambini,My Cousin Vinny,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
Kathryn Merteuil,Cruel Intentions,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.
Demon Nun,The Nun,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.
Henry Roth,50 First Dates,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.
Lucy Whitmore,50 First Dates,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.
Laney Boggs,She's All That,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.
Aquamarine,Aquamarine,Two teenage girls discover a mermaid in their beach club's swimming pool.
Sara Crewe,A Little Princess,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
Amelia Wren,The Aeronauts,A balloon pilot and a scientist find themselves in a fight for survival while attempting to make discoveries in a gas balloon in the 1860s.
James Glaisher,The Aeronauts,A balloon pilot and a scientist find themselves in a fight for survival while attempting to make discoveries in a gas balloon in the 1860s.
Albert,The Birdcage,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
Elizabeth Halsey,Bad Teacher,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her."
Katie,Midnight Sun,A 17-year-old girl suffers from a condition that prevents her from being out in the sunlight.
Maddy Whittier,"Everything, Everything",A teenager who's spent her whole life confined to her home falls for the boy next door.
Rob Gordon,High Fidelity,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
Mary Lennox,The Secret Garden,"A young, recently-orphaned girl is sent to England after living in India all of her life. Once there, she begins to explore her new, seemingly-isolated surroundings, and its secrets."
Ichi,Ichi the Killer,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of achieving."
Carrie White,Carrie,"A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom."
Jonas,The Giver,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world."
Samantha Albertson,Now and Then,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
"Vlad III ""the Impaler"" Drăculea / Dracula",Dracula Untold,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
Cory Lambert,Wind River,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
"Gwen Grayson / ""Royal Pain""",Sky High,"Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being."
Dr. Richard Kimble,The Fugitive,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
Zeke Presanti,Big Time Adolescence,"A suburban teenager comes of age under the destructive guidance of his best friend, an aimless college dropout."
"Patricia ""Kitten"" Braden",Breakfast on Pluto,"In the 1970s, a young trans woman, Patrick ""Kitten"" Braden, comes of age by leaving her Irish town for London, in part to look for her mother and in part because her gender identity is beyond the town's understanding."
Cameron Poe,Con Air,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.
Arjun Saluja,Zindagi Na Milegi Dobara,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
Wilfred James,1922,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
Quinn Harris,Countdown,"When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time ru..."
Ms. O'Brien,The Tree of Life,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
Maya,Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
Calvin Gabriel,Zero Day,Two troubled adolescents chronicle the events that ultimately lead up to a terrifying assault on their school.
David,Pleasantville,"Two 1990s teenage siblings find themselves in a 1950s sitcom, where their influence begins to profoundly change that complacent world."
Blake,Glengarry Glen Ross,An examination of the machinations behind the scenes at a real estate office.
Amanda Collier,The Best of Me,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.
Marisa Ventura,Maid in Manhattan,"A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress."
Jenny Mellor,An Education,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age."
Dr. Kabir Rajdheer Singh,Kabir Singh,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends."
Terry Hoitz,The Other Guys,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned."
Declan O'Callaghan,Leap Year,"Anna Brady plans to travel to Dublin, Ireland to propose to her boyfriend Jeremy on February 29, leap day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it."
Casey Newton,Tomorrowland,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
Chucky “Buddi Doll”,Child's Play,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature."
Minnie Goetze,The Diary of a Teenage Girl,A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.
Paul,Paul,Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.
The Girl,My Sassy Girl,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
Cha Tae-Sik,The Man from Nowhere,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
Dilan,Dilan 1990,"Milea (Vanesha Prescilla) met with Dilan (Iqbaal Ramadhan) at a high school in Bandung in 1990. An unusual introduction brings Milea to know the uniqueness of Dilan who is smart, kind, and romantic in her eyes."
Shūsuke Hoshino,All About Lily Chou-Chou,"The problematic lives of teenager students for whom the singer Lily Chou-Chou's dreamy music is the only way to escape an alienating, violent and insensitive society."
Yūichi Hasumi,All About Lily Chou-Chou,"The problematic lives of teenager students for whom the singer Lily Chou-Chou's dreamy music is the only way to escape an alienating, violent and insensitive society."
Alex Browning,Final Destination,"Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane."
Lorraine Broughton,Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.
Rodrick Heffley,Diary of a Wimpy Kid: The Long Haul,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.
Barton Fink,Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
Steve Després,Mommy,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
Simon James,The Double,"A clerk in a government agency finds his unenviable life takes a turn for the horrific with the arrival of a new co-worker who is both his exact physical double and his opposite - confident, charismatic and seductive with women."
Chad Feldheimer,Burn After Reading,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.
Ernst Toller,First Reformed,"A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past."
Viola Hastings,She's the Man,"When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic ..."
Snow White,Mirror Mirror,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.
Luke Lerner,Better Watch Out,"On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion."
Zak,The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.
Tyler,The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.
Barbara Sugarman,Don Jon,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
Robert Neville,I Am Legend,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
John Tucker,John Tucker Must Die,Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.
Kate,John Tucker Must Die,Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.
Mikey Waters,My Own Private Idaho,Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.
Sebastião Rodrigues,Silence,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
Megan Bloomfield,But I'm a Cheerleader,A naive teenager is sent to rehab camp when her straitlaced parents and friends suspect her of being a lesbian.
Ryan Bingham,Up in the Air,"Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model."
Courtney Shayne,Jawbreaker,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.
Art The Clown,Terrifier,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown."
Anjali Sharma,Kuch Kuch Hota Hai,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali."
Paterson,Paterson,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details."
Toby Howard,Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
Bella Brown,This Beautiful Fantastic,"A young woman who dreams of becoming a children's book author makes an unlikely friendship with a cantankerous, rich old widower."
Ludlow Lamonsoff,Pixels,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games."
The Boy,Vivarium,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.
Bill Harding,Twister,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
Dean,Blue Valentine,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
Jay Height,It Follows,A young woman is followed by an unknown supernatural force after a sexual encounter.
Wesley Gibson,Wanted,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
Winnie the Pooh,Christopher Robin,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life."
Alice,"Yes, God, Yes","After an innocent AOL chat turns racy, a Catholic teenager in the early 2000s discovers masturbation and struggles to suppress her new urges in the face of eternal damnation."
Lauren Reynolds,Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
Jane,Predestination,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos."
Mike Chadway,The Ugly Truth,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.
Vivien,Level 16,"In a highly regimented boarding school, a pair of students discover that things are not as they seem."
Charlotte,The Perfection,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences."
Robert Capa,Sunshine,A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
Gheorghe,God's Own Country,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new"
Adrian Forrester,The Crush,"A journalist becomes the unwanted center of attention for a 14-year-old girl, who proceeds to sabotage his life after he refuses her sexual advances."
Aditya Kashyup,Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
Geet Dhillon,Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
James Brennan,Adventureland,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world."
Maddie,Hush,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
Aman Mathur,Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love fo..."
Rahul Raichand,Kabhi Khushi Kabhie Gham...,"After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again."
Nick Jones,House of Wax,A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.
Barış,Delibal,Two young people figure out how to shape their future according to love and/or career. Then one of them finds himself having to decide whether to live happily with his beloved wife with the risk of harming her or sacrifice himself fo
Lars Lindstrom,Lars and the Real Girl,A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.
Brahms Heelshire,The Boy,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."
Cole Johnson,The Babysitter,"When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet."
Hawk,Detroit Rock City,"In 1978, four rebellious teenagers try to scam their way into a KISS concert."
Raj Malhotra,Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
Raj Aryan,Mohabbatein,"A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples."
Freya,The Huntsman: Winter's War,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."
Sam Cahill,Brothers,"While on tour in Afghanistan, Sam's copter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage."
"Jacob ""Money"" Harlon",Shot Caller,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.
Mary Poppins (Mary Poppins Returns),Mary Poppins Returns,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives."
Colonel John Matrix,Commando,"Karan, a disavowed Indian commando, helps protect a woman from a local thug who is hellbent on forcing her to marry him."
"Roberta Olivia ""Bobbie"" Salazar",Four Sisters and a Wedding,"Four sisters try to stop their younger brother's wedding; in the process, all discover resentments among one another."
Rebecca Bloomwood,Confessions of a Shopaholic,A college grad lands a job as a financial journalist in New York City to support where she nurtures her shopping addiction and falls for a wealthy entrepreneur.
William James,The Hurt Locker,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work."
Connor 'Dutch' Mead,Ghosts of Girlfriends Past,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends."
Charles,Four Weddings and a Funeral,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
Sally Owens,Practical Magic,"Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love."
